actions,discount_factor,mc_rewards,next_obs,obs,rewards,terminal_discounts,terminal_obs,terminals
7,0.95,0.095,"[7, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[7, 20, 14]",False
20,0.95,0.1,"[7, 20, -1]","[7, -1, -1]",0.1,0.9025,"[7, 20, 14]",False
14,0.95,0.0,"[7, 20, 14]","[7, 20, -1]",0.0,0.95,"[7, 20, 14]",True
12,0.95,-0.09025,"[12, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[12, 0, 4]",False
0,0.95,-0.095,"[12, 0, -1]","[12, -1, -1]",0.0,0.9025,"[12, 0, 4]",False
4,0.95,-0.1,"[12, 0, 4]","[12, 0, -1]",-0.1,0.95,"[12, 0, 4]",True
0,0.95,-0.09025,"[0, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[0, 21, 8]",False
21,0.95,-0.095,"[0, 21, -1]","[0, -1, -1]",0.0,0.9025,"[0, 21, 8]",False
8,0.95,-0.1,"[0, 21, 8]","[0, 21, -1]",-0.1,0.95,"[0, 21, 8]",True
15,0.95,-0.09025,"[15, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[15, 0, 24]",False
0,0.95,-0.095,"[15, 0, -1]","[15, -1, -1]",0.0,0.9025,"[15, 0, 24]",False
24,0.95,-0.1,"[15, 0, 24]","[15, 0, -1]",-0.1,0.95,"[15, 0, 24]",True
18,0.95,-0.09025,"[18, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[18, 4, 4]",False
4,0.95,-0.095,"[18, 4, -1]","[18, -1, -1]",0.0,0.9025,"[18, 4, 4]",False
4,0.95,-0.1,"[18, 4, 4]","[18, 4, -1]",-0.1,0.95,"[18, 4, 4]",True
3,0.95,-0.09025,"[3, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[3, 4, 13]",False
4,0.95,-0.095,"[3, 4, -1]","[3, -1, -1]",0.0,0.9025,"[3, 4, 13]",False
13,0.95,-0.1,"[3, 4, 13]","[3, 4, -1]",-0.1,0.95,"[3, 4, 13]",True
8,0.95,-0.09025,"[8, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[8, 6, 13]",False
6,0.95,-0.095,"[8, 6, -1]","[8, -1, -1]",0.0,0.9025,"[8, 6, 13]",False
13,0.95,-0.1,"[8, 6, 13]","[8, 6, -1]",-0.1,0.95,"[8, 6, 13]",True
2,0.95,0.095,"[2, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[2, 4, 8]",False
4,0.95,0.1,"[2, 4, -1]","[2, -1, -1]",0.1,0.9025,"[2, 4, 8]",False
8,0.95,0.0,"[2, 4, 8]","[2, 4, -1]",0.0,0.95,"[2, 4, 8]",True
9,0.95,-0.09025,"[9, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[9, 14, 4]",False
14,0.95,-0.095,"[9, 14, -1]","[9, -1, -1]",0.0,0.9025,"[9, 14, 4]",False
4,0.95,-0.1,"[9, 14, 4]","[9, 14, -1]",-0.1,0.95,"[9, 14, 4]",True
11,0.95,-0.09025,"[11, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[11, 8, 0]",False
8,0.95,-0.095,"[11, 8, -1]","[11, -1, -1]",0.0,0.9025,"[11, 8, 0]",False
0,0.95,-0.1,"[11, 8, 0]","[11, 8, -1]",-0.1,0.95,"[11, 8, 0]",True
13,0.95,-0.09025,"[13, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[13, 1, 1]",False
1,0.95,-0.095,"[13, 1, -1]","[13, -1, -1]",0.0,0.9025,"[13, 1, 1]",False
1,0.95,-0.1,"[13, 1, 1]","[13, 1, -1]",-0.1,0.95,"[13, 1, 1]",True
